Date,AIG,AXP,BAC,BK,BLK,C,GS,JPM,MET,MS,PRU,SCHW,TROW,USB,WFC,AAPL,AMZN,BA,COST,DIS,GOOGL,HD,MCD,META,MSFT,NFLX,NKE,PEP,SBUX,TSLA
2020-04-01,18.931623458862305,72.32540893554688,17.357385635375977,27.724411010742188,360.3127136230469,31.35414695739746,128.06382751464844,72.30365753173828,23.17966651916504,26.50166893005371,36.02975082397461,30.52304458618164,75.65522003173828,25.457351684570312,23.12873649597168,58.32105255126953,95.38500213623048,130.6999969482422,263.1158447265625,93.36355590820312,54.776485443115234,157.42926025390625,140.15293884277344,158.7292022705078,145.3296661376953,364.0799865722656,74.13880920410156,100.98426818847656,55.840293884277344,32.104000091552734
2020-04-02,18.616249084472656,71.62467193603516,18.05976104736328,28.521381378173828,375.2604064941406,31.94036102294922,132.1536865234375,75.00348663330078,23.304288864135746,28.412607192993164,35.74611282348633,31.847309112548828,78.29071044921875,26.047344207763672,23.69454765319824,59.294227600097656,95.94149780273438,123.2699966430664,267.4281311035156,95.37994384765624,55.51853942871094,159.79122924804688,143.10360717773438,157.326904296875,148.33924865722656,370.0799865722656,74.9903335571289,105.8915557861328,57.96261596679688,30.29800033569336
2020-04-03,17.92416000366211,68.76565551757812,17.58565902709961,28.61463737487793,367.8173522949219,30.5236873626709,129.50938415527344,72.78654479980469,23.030122756958008,28.37069702148437,35.332157135009766,31.115711212158203,76.7191162109375,24.867355346679688,22.832773208618164,58.44209289550781,95.32949829101562,124.5199966430664,264.83154296875,92.34061431884766,54.30928802490234,157.49098205566406,142.06689453125,153.33876037597656,146.9729766845703,361.760009765625,73.79257202148438,106.51565551757812,56.22373962402344,32.000667572021484
2020-04-06,18.852781295776367,78.361083984375,18.779687881469727,29.87792205810547,395.4869689941406,33.47916793823242,139.46961975097656,77.47156524658203,25.44778633117676,31.01918601989746,37.670257568359375,33.412357330322266,82.7718505859375,27.40273094177246,24.921932220458984,63.54044342041016,99.87950134277344,148.77000427246094,279.9425048828125,97.94715118408205,58.80681991577149,168.62200927734375,156.8734588623047,164.64675903320312,157.90301513671875,379.9599914550781,79.19181060791016,112.1325225830078,60.45055770874024,34.41600036621094
2020-04-07,20.377126693725582,81.82740020751953,19.438161849975582,29.50487899780273,389.8562622070313,33.58501052856445,146.3360595703125,78.49342346191406,26.23705291748047,30.96051788330078,39.90870666503906,32.356651306152344,82.12708282470703,27.46651077270508,25.043794631958008,62.80449676513672,100.58000183105467,141.5800018310547,278.5754089355469,99.5799331665039,58.7755012512207,169.46803283691406,155.5886688232422,167.90884399414062,156.202392578125,372.2799987792969,78.75202941894531,111.55118560791016,61.27093124389648,36.36333465576172
2020-04-08,21.13929748535156,86.03182983398438,20.588302612304688,30.225542068481445,396.7626953125,36.03569412231445,155.97889709472656,81.66294860839844,27.807300567626957,32.997169494628906,42.17781829833984,33.79204559326172,85.03659057617188,28.42325592041016,26.358230590820312,64.41194915771484,102.1500015258789,146.8699951171875,280.7223815917969,99.41271209716795,59.99021530151367,171.69776916503906,157.272216796875,173.32911682128906,157.769287109375,371.1199951171875,79.81876373291016,113.37220764160156,63.8213005065918,36.589332580566406
2020-04-09,23.250598907470703,88.59185028076172,21.826231002807617,31.48882102966309,414.7545471191406,38.600372314453125,162.41343688964844,88.98921966552734,29.460617065429688,34.43037414550781,44.99886703491211,33.83834457397461,84.75448608398438,30.336742401123047,28.900035858154297,64.87673950195312,102.13800048828124,151.83999633789062,275.2542724609375,102.78646850585938,59.96884536743164,177.61138916015625,162.77479553222656,174.23414611816406,157.77886962890625,370.7200012207031,81.2130355834961,114.24420166015624,65.8812026977539,38.20000076293945
2020-04-13,22.453384399414062,84.39676666259766,21.000946044921875,30.52228546142578,398.011962890625,38.00602340698242,157.93568420410156,85.0316390991211,28.51348304748535,33.17319107055664,44.46224594116211,32.199222564697266,82.40111541748047,29.33216667175293,27.359283447265625,66.15011596679688,108.44349670410156,147.3300018310547,274.8963928222656,101.8028793334961,60.15970230102539,175.1965789794922,159.6025848388672,173.83631896972656,158.13233947753906,396.7200012207031,79.0327377319336,111.90172576904295,63.99073791503906,43.39666748046875
2020-04-14,22.584794998168945,82.58419036865234,20.834131240844727,30.810548782348636,402.97406005859375,36.98015594482422,157.09832763671875,82.70213317871094,28.604877471923828,33.40785217285156,44.929874420166016,33.532752990722656,82.15125274658203,28.542848587036133,26.27117729187012,69.49091339111328,114.16600036621094,141.0,288.21832275390625,104.29138946533205,62.88436126708984,182.58204650878903,163.03179931640625,177.19786071777344,165.95726013183594,413.5499877929688,81.84931182861328,118.32221221923828,65.69392395019531,47.32600021362305
2020-04-15,21.095497131347656,78.28632354736328,19.482065200805664,29.360740661621094,389.8123168945313,34.895835876464844,157.35397338867188,78.62332916259766,26.97647857666016,32.1841926574707,41.79451751708984,32.10660552978516,79.773681640625,26.573549270629883,24.756542205810547,68.8566665649414,115.38400268554688,145.97999572753906,284.66754150390625,101.6750030517578,62.49022674560547,174.92337036132812,157.58233642578125,176.0044403076172,164.21841430664062,426.75,79.57546997070312,115.44110107421876,64.6951904296875,48.65533447265625
2020-04-16,20.30704116821289,76.00660705566406,18.806032180786133,30.64098358154297,403.8186950683594,32.99065017700195,156.04946899414062,75.62699890136719,25.713645935058597,32.15066146850586,40.16167449951172,32.04179382324219,80.22501373291016,25.337759017944336,23.407289505004883,69.40377807617188,120.40950012207033,134.24000549316406,295.02593994140625,100.34713745117188,62.49668502807617,176.1307830810547,159.05323791503906,175.2883758544922,169.1483917236328,439.1700134277344,80.75450897216797,115.96263122558594,65.55126953125,49.68066787719727
2020-04-17,21.463438034057617,81.64987182617188,20.439044952392575,31.70078659057617,419.5494995117188,37.00457382202149,161.73472595214844,82.42503356933594,27.466657638549805,32.76249313354492,43.3890266418457,33.143802642822266,83.40853118896484,27.952857971191406,24.70431327819824,68.46205139160156,118.75,154.0,291.6863098144531,104.8815460205078,63.568756103515625,184.56497192382807,164.9014434814453,178.2620391845703,170.6388702392578,422.9599914550781,84.13253021240234,117.59552764892578,68.75257873535156,50.25933456420898
2020-04-20,20.80639266967773,78.49187469482422,19.754230499267575,30.86990165710449,414.2091369628906,35.8321533203125,159.0110626220703,79.42002868652344,27.04294776916504,32.15066146850586,41.58754348754883,33.8846549987793,81.5226058959961,27.30706214904785,24.094970703125,67.041015625,119.68049621582033,143.61000061035156,286.3282775878906,100.5832061767578,62.68157958984375,181.59495544433597,160.95831298828125,177.26751708984375,167.2566375732422,437.489990234375,82.25169372558594,115.03074645996094,67.165283203125,49.75733184814453
2020-04-21,19.4923038482666,76.16542053222656,18.99918556213379,29.85248374938965,417.3499145507813,33.845542907714844,153.20240783691406,77.11650848388672,26.13736343383789,30.968904495239254,39.70172119140625,33.28271484375,79.66889953613281,26.095176696777344,23.363767623901367,64.9687271118164,116.40599822998048,136.3300018310547,276.46533203125,98.8914031982422,60.24668502807617,176.80059814453125,157.3519287109375,169.8680877685547,160.33938598632812,433.8299865722656,79.7251968383789,111.94447326660156,64.84681701660156,45.78133392333984
2020-04-22,19.50106811523437,77.11845397949219,19.139657974243164,30.11532211303711,423.1830749511719,34.391048431396484,155.11514282226562,77.36762237548828,26.3866024017334,31.68968963623047,41.09691619873047,33.2178840637207,81.10350799560547,26.50977325439453,23.328950881958008,66.84007263183594,118.17449951171876,134.97000122070312,283.8876647949219,99.3340301513672,62.54539489746094,179.93804931640625,165.23814392089844,181.2854461669922,165.78529357910156,421.4200134277344,83.06578826904297,113.3807373046875,69.06468963623047,48.80733489990234
2020-04-23,19.851491928100582,77.043701171875,19.20111846923828,29.945751190185547,414.56103515625,34.57016372680664,154.29539489746094,77.41092681884766,26.502918243408203,31.404727935791016,40.81328582763672,33.00489044189453,79.91874694824219,26.605445861816406,23.093914031982425,66.58102416992188,119.97250366210938,137.74000549316406,280.1994323730469,99.34386444091795,63.17958831787109,178.30764770507812,161.30389404296875,184.11990356445312,163.7789306640625,426.7000122070313,81.73702239990234,111.3630828857422,67.01368713378906,47.04199981689453
2020-04-24,20.45597076416016,77.70706176757812,19.473283767700195,30.31879234313965,418.0274658203125,35.09124755859375,156.0142059326172,78.55403137207031,27.66605758666992,31.823787689208984,42.76042556762695,32.78262710571289,80.8697738647461,27.10773086547852,23.43340110778809,68.50320434570312,120.51100158691406,128.97999572753906,284.9243469238281,99.53076171875,63.4494743347168,186.99742126464844,163.05836486816406,189.03294372558597,166.76939392089844,424.989990234375,82.6915054321289,114.86832427978516,67.39714813232422,48.34333419799805
2020-04-27,21.18309783935547,79.4729232788086,20.605859756469727,31.593122482299805,436.9518737792969,37.908321380615234,161.77877807617188,81.94007110595703,28.59656524658203,32.94688034057617,45.42815780639648,34.116172790527344,85.83446502685547,28.606637954711918,24.73042678833008,68.5516357421875,118.8000030517578,128.67999267578125,283.3004455566406,104.32089233398438,63.164180755615234,191.9151153564453,164.7153778076172,186.4769744873047,166.29168701171875,421.3800048828125,83.62722778320312,114.9538345336914,69.3232650756836,53.25
2020-04-28,22.146764755249023,82.3973388671875,20.9746036529541,31.986555099487305,437.9373168945313,38.43752670288086,164.83737182617188,82.52027893066406,29.22797966003418,33.634151458740234,46.49372100830078,34.33842849731445,91.79049682617188,29.220542907714844,25.130847930908203,67.4404067993164,115.7040023803711,131.3000030517578,279.78662109375,104.46843719482422,61.26209259033203,191.80059814453125,164.7508087158203,181.9120178222656,162.24061584472656,403.8299865722656,83.09386444091797,116.54400634765624,70.17041778564453,51.27466583251953
2020-04-29,23.855077743530277,89.80647277832031,21.75599670410156,32.51681137084961,449.9201354980469,40.92078399658203,167.4993133544922,84.74588012695312,31.138851165771484,34.48810577392578,49.43742370605469,35.9219970703125,94.23257446289062,30.66362571716309,26.1144962310791,69.6555404663086,118.635498046875,139.0,281.7500305175781,110.4094009399414,66.70892333984375,195.4844665527344,166.42550659179688,193.1304626464844,169.52101135253906,411.8900146484375,82.4107437133789,114.01341247558594,68.53856658935547,53.367332458496094
